,id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
7757,7758,Synset('generic_drug.n.01'),9,generic drugs are usually cheaper than brand-name drugs,Synset('merchandise.n.01'),7,good business depends on having good merchandise,0
7758,7759,Synset('week.n.01'),6,it rained for a week,Synset('week_from_monday.n.01'),7,a week from Monday will be too soon!,1
7759,7760,Synset('acceleration.n.01'),7,modern science caused an acceleration of cultural change,Synset('precipitation.n.05'),8,he is responsible for the precipitation of his own demise,1
7760,7761,Synset('rainbow.n.02'),9,chasing rainbows,Synset('promise.n.02'),8,there is little or no promise that he will recover,0
7761,7762,Synset('operation.n.01'),6,that rule is no longer in operation,Synset('idle.n.01'),7,the car engine was running at idle,1
7762,7763,Synset('currency.n.02'),7,the currency of ideas,Synset('prevalence.n.01'),6,he was surprised by the prevalence of optimism about the future,0
7763,7764,Synset('assurance.n.03'),6,the President's assurances were not respected,Synset('clean_bill_of_health.n.01'),7,the doctor gave him a clean bill of health,1
7764,7765,Synset('vow.n.01'),7,they took vows of poverty,Synset('assurance.n.02'),6,an assurance of help when needed,0
7765,7766,Synset('tsuris.n.01'),11,the frustrating tsuris he subjected himself to,Synset('trouble.n.04'),10,I went to a lot of trouble,0
7766,7767,Synset('address.n.03'),7,he listened to an address on minor Roman poets,Synset('nominating_speech.n.01'),9,the nomination was brief and to the point,1
7767,7768,Synset('thaw.n.03'),10,the thaw between the United States and Russia has led to increased cooperation in world affairs,Synset('relaxation.n.04'),9,the relaxation of requirements,0
7768,7769,Synset('revision.n.01'),10,it would require a drastic revision of his opinion,Synset('transfiguration.n.03'),11,the metamorphosis of the old house into something new and exciting,1
7769,7770,Synset('difficulty.n.04'),5,they agreed about the difficulty of the climb,Synset('sternness.n.01'),7,the sternness of his surroundings made him uncomfortable,1
7770,7771,Synset('juice.n.03'),9,when the wiring was finished they turned on the juice,Synset('current.n.01'),8,the current was measured in amperes,0
7771,7772,Synset('ring_containment.n.01'),10,ring containment is a proven method of halting a smallpox epidemic,Synset('containment.n.03'),9,the containment of the AIDS epidemic,0
7772,7773,Synset('name.n.03'),9,he had no sons and there was no one to carry on his name,Synset('lineage.n.01'),7,his entire lineage has been warriors,0
7773,7774,Synset('days.n.01'),7,the monarch's last days,Synset('life.n.07'),6,he appointed himself emperor for life,0
7774,7775,Synset('marriage.n.02'),7,his second marriage was happier than the first,Synset('mixed_marriage.n.01'),8,the families of both partners in a mixed marriage often disapprove,1
7775,7776,Synset('granulation.n.02'),11,the granulation of medicines,Synset('fabrication.n.03'),9,the synthesis and fabrication of single crystals,0
7776,7777,Synset('trip.n.01'),11,he took a trip to the shopping center,Synset('run.n.06'),12,the ship made its run in record time,1
7777,7778,Synset('strain.n.04'),8,his responsibilities were a constant strain,Synset('tension.n.01'),9,he suffered from fatigue and emotional tension,1
7778,7779,Synset('accident.n.02'),6,winning the lottery was a happy accident,Synset('hap.n.01'),7,he recorded all the little haps and mishaps of his life,1
7779,7780,Synset('fundamental.n.01'),10,"fundamentals include a company's growth, revenues, earnings, management, and capital structure",Synset('cause.n.01'),8,they are trying to determine the cause of the crash,0
7780,7781,Synset('straight_and_narrow.n.01'),9,he taught his children to keep strictly to the straight and narrow,Synset('course.n.04'),7,if you persist in that course you will surely fail,0
7781,7782,Synset('car_rental.n.01'),7,she picked up a hire car at the airport and drove to her hotel,Synset('property.n.01'),5,that hat is my property,0
7782,7783,Synset('survivor_guilt.n.01'),10,survivor guilt was first noted in those who survived the Holocaust,Synset('sorrow.n.02'),7,he drank to drown his sorrows,0
7783,7784,Synset('shock.n.06'),8,it came as a shock to learn that he was injured,Synset('blip.n.01'),9,the market had one bad blip today,1
7784,7785,Synset('scunner.n.01'),7,they took a scunner against the United States,Synset('feeling.n.01'),5,she had a feeling of euphoria,0
7785,7786,Synset('behalf.n.01'),11,on behalf of,Synset('stead.n.01'),10,can you go in my stead?,0
7786,7787,Synset('smart_bomb.n.01'),10,smart bombs have revolutionized aerial bombardment,Synset('laser-guided_bomb.n.01'),11,laser-guided bombs cannot be used in cloudy weather,1
7787,7788,Synset('reaction.n.07'),8,his style of painting was a reaction against cubism,Synset('backlash.n.02'),9,there was a backlash of intolerance,1
7788,7789,Synset('energy.n.01'),7,energy can take a wide variety of forms,Synset('sunlight.n.01'),12,the shingles were weathered by the sun and wind,1
7789,7790,Synset('reproach.n.01'),8,words of reproach,Synset('blame.n.02'),9,he took the blame for it,1
7790,7791,Synset('feeling.n.06'),8,he had a great feeling for music,Synset('sprachgefuhl.n.01'),9,Dubyuh has no sprachgefuhl,1
7791,7792,Synset('menace.n.01'),5,earthquakes are a constant threat in Japan,Synset('danger.n.03'),4,he feared the dangers of traveling by air,0
7792,7793,Synset('disarming.n.01'),9,the disarmament of the aggressor nations must be complete,Synset('demobilization.n.01'),8,demobilization of factories,0
7793,7794,Synset('latest.n.01'),7,have you heard the latest?,Synset('news.n.01'),6,they awaited news of the outcome,0
7794,7795,Synset('personhood.n.01'),6,finding her own personhood as a campus activist,Synset('identity.n.01'),5,you can lose your identity when you join the army,0
7795,7796,Synset('silence.n.02'),6,he needed silence in order to sleep,Synset('hush.n.01'),7,the still of the night,1
7796,7797,Synset('principle.n.01'),8,their principles of composition characterized all their works,Synset('generalization.n.02'),7,he spoke in broad generalities,0
7797,7798,Synset('arrest.n.02'),6,the negotiations were in arrest,Synset('logjam.n.01'),7,the legislation ran into a logjam,1
7798,7799,Synset('feeling.n.01'),5,she had a feeling of euphoria,Synset('electricity.n.03'),8,the stage crackled with electricity whenever she was on it,1
7799,7800,Synset('zeal.n.02'),8,he had an absolute zeal for litigation,Synset('ardor.n.03'),7,he spoke with great ardor,0
7800,7801,Synset('matter.n.05'),10,they were friends and it was no matter who won the games,Synset('consequence.n.03'),9,decisions of great consequence are made by the president himself,0
7801,7802,Synset('transfiguration.n.03'),11,the metamorphosis of the old house into something new and exciting,Synset('transformation.n.05'),9,a photograph is a translation of a scene onto a two-dimensional surface,0
7802,7803,Synset('movement.n.10'),10,it was an expensive watch with a diamond movement,Synset('action.n.07'),9,the piano had a very stiff action,0
7803,7804,Synset('king.n.04'),8,the lion is the king of beasts,Synset('eminence.n.01'),7,a scholar of great eminence,0
7804,7805,Synset('authority.n.01'),7,he has the authority to issue warrants,Synset('command.n.03'),8,an admiral in command,1
7805,7806,Synset('ease.n.01'),5,he rose through the ranks with apparent ease,Synset('smoothness.n.05'),7,the five-speed manual gearbox is smoothness personified,1
7806,7807,Synset('juice.n.02'),9,her creative juices were flowing,Synset('energy.n.05'),8,jogging works off my excess energy,0
7807,7808,Synset('marriage.n.04'),6,the marriage of music and dance,Synset('union.n.04'),5,there is strength in union,0
7808,7809,Synset('hearing.n.02'),8,they condemned him without a hearing,Synset('opportunity.n.01'),7,the holiday gave us the opportunity to visit Washington,0
7809,7810,Synset('preliminary_prospectus.n.01'),13,because some portions of the cover page are printed in red ink a preliminary prospectus is sometimes called a red herring,Synset('catalog.n.01'),11,he found it in the Sears catalog,0
7810,7811,Synset('two-note_call.n.01'),7,the two-note call of the cuckoo,Synset('birdcall.n.01'),6,a bird will not learn its song unless it hears it at an early age,0
7811,7812,Synset('tease.n.03'),10,he ignored their teases,Synset('mistreatment.n.01'),8,he should be punished for his mistreatment of his mother,0
7812,7813,Synset('range.n.02'),8,range of motion,Synset('earshot.n.01'),9,the children were told to stay within earshot,1
7813,7814,Synset('warning.n.01'),8,a warning that still more bombs could explode,Synset('caution.n.02'),9,a caveat against unfair practices,1
7814,7815,Synset('cradle.n.03'),7,he was taught from the cradle never to cry,Synset('birth.n.01'),6,they divorced after the birth of the child,0
7815,7816,Synset('side.n.01'),6,they always sat on the right side of the church,Synset('bedside.n.01'),7,the doctor stood at her bedside,1
7816,7817,Synset('incursion.n.01'),9,the incursion of television into the American living room,Synset('entrance.n.03'),8,she made a grand entrance,0
7817,7818,Synset('gloom.n.03'),7,gloom pervaded the office,Synset('bleakness.n.01'),8,the nakedness of the landscape,1
7818,7819,Synset('mention.n.01'),7,she made frequent mention of her promotion,Synset('retrospection.n.01'),8,the story begins with no introductory retrospections,1
7819,7820,Synset('spectacle.n.01'),6,the tragic spectacle of cripples trying to escape,Synset('sight.n.02'),5,he was a familiar sight on the television,0
7820,7821,Synset('savageness.n.01'),8,the coastline is littered with testaments to the savageness of the waters,Synset('ferocity.n.01'),7,the storm's violence,0
7821,7822,Synset('clash.n.03'),6,her dress was a disturbing clash of colors,Synset('conflict.n.04'),5,his conflict of interest made him ineligible for the post,0
7822,7823,Synset('blind_date.n.02'),9,she never goes on blind dates,Synset('meeting.n.02'),7,there was an informal meeting in my living room,0
7823,7824,Synset('point.n.06'),4,at that point I had to leave,Synset('middle.n.04'),5,the middle of the war,1
7824,7825,Synset('imposition.n.02'),10,he listened but resented the imposition,Synset('burden.n.01'),9,the burden of responsibility,0
7825,7826,Synset('nest.n.04'),8,a nest of thieves,Synset('sleeper_nest.n.01'),9,sleeper nests of Islamic terrorists were capable of launching major attacks in Europe,1
7826,7827,Synset('spark.n.04'),7,a spark of interest,Synset('trace.n.01'),6,he speaks French with a trace of an accent,0
7827,7828,Synset('irani.n.01'),10,the majority of Irani are Persian Shiite Muslims,Synset('farsi.n.01'),11,many Farsi emigrated to India near Bombay,1
7828,7829,Synset('king.n.04'),8,the lion is the king of beasts,Synset('eminence.n.01'),7,a scholar of great eminence,0
7829,7830,Synset('recourse.n.02'),7,his only recourse was the police,Synset('shadow.n.06'),8,he felt secure in his father's shadow,1
7830,7831,Synset('wise.n.01'),6,in no wise,Synset('manner.n.01'),5,her dignified manner,0
7831,7832,Synset('cross-purpose.n.01'),8,at cross-purposes,Synset('purpose.n.01'),7,his intent was to provide a new translation,0
7832,7833,Synset('crisis.n.01'),8,they went bankrupt during the economic crisis,Synset('exigency.n.01'),9,the health-care exigency,1
7833,7834,Synset('testimony.n.03'),6,his effort was testimony to his devotion,Synset('good_authority.n.01'),7,I have it on good authority,1
7834,7835,Synset('largeness.n.02'),9,the might have repercussions of unimaginable largeness,Synset('magnitude.n.03'),8,a problem of the first magnitude,0
7835,7836,Synset('iraqi.n.01'),10,the majority of Iraqi are Arab Shiite Muslims although Sunni Muslims control the government,Synset('hajji.n.01'),11,"to American soldiers, the hajji are the alien people from whom the enemy emerges",1
7836,7837,Synset('soft_option.n.01'),9,the instructor took the soft option and gave the boy a passing grade,Synset('decision_making.n.01'),7,a good executive must be good at decision making,0
7837,7838,Synset('pleasure.n.01'),6,he was tingling with pleasure,Synset('delight.n.01'),7,his delight to see her was obvious to all,1
7838,7839,Synset('wilderness.n.04'),10,the duties of citizenship are lost sight of in the wilderness of interests of individuals and groups,Synset('profusion.n.01'),9,the profusion of detail,0
7839,7840,Synset('yes.n.01'),10,I was hoping for a yes,Synset('affirmative.n.01'),9,he answered in the affirmative,0
7840,7841,Synset('forager.n.01'),10,in Japan a fungus forager can earn a good living,Synset('seeker.n.01'),8,they are seekers after truth,0
7841,7842,Synset('lame.n.02'),7,she wore a gold lame dress,Synset('fabric.n.01'),6,the fabric in the curtains was light and semitransparent,0
7842,7843,Synset('nervousness.n.02'),7,he suffered an attack of nerves,Synset('strain.n.04'),8,his responsibilities were a constant strain,1
7843,7844,Synset('coating.n.02'),7,the boat had a metallic finish,Synset('shoeshine.n.01'),8,his trousers had a sharp crease and you could see your reflection in his shoeshine,1
7844,7845,Synset('foot.n.07'),11,he followed on foot,Synset('walk.n.04'),10,he took a walk after lunch,0
7845,7846,Synset('quality.n.01'),4,the quality of mercy is not strained,Synset('worthlessness.n.01'),5,the drill sergeant's intent was to convince all the recruits of their worthlessness,1
7846,7847,Synset('move.n.02'),8,they say that three moves equal one fire,Synset('flit.n.02'),9,they did a moonlight flit,1
7847,7848,Synset('sympathy.n.01'),7,his sympathies were always with the underdog,Synset('inclination.n.01'),6,he had an inclination to give up too easily,0
7848,7849,Synset('monopoly.n.01'),8,a monopoly on silver,Synset('corner.n.07'),9,a corner on the silver market,1
7849,7850,Synset('subornation_of_perjury.n.01'),9,to prove subordination of perjury you must prove the perjury and also prove that the perjured statement was procured by the accused suborner who knew that it would be false,Synset('provocation.n.03'),7,the result was a provocation of vigorous investigation,0
7850,7851,Synset('prescription_drug.n.01'),8,he told the doctor that he had been taking his prescription regularly,Synset('refill.n.01'),9,he got a refill of his prescription,1
7851,7852,Synset('solvent.n.01'),7,the solvent does not change its state in forming a solution,Synset('remover.n.01'),8,paint remover,1
7852,7853,Synset('custom.n.04'),13,I have given this tailor my custom for many years,Synset('trade.n.03'),12,even before noon there was a considerable patronage,0
7853,7854,Synset('reform.n.01'),10,justice was for sale before the reform of the law courts,Synset('housecleaning.n.01'),11,more housecleaning is in store at other accounting firms,1
7854,7855,Synset('litmus_test.n.02'),8,her litmus test for good breeding is whether you split infinitives,Synset('examination.n.02'),7,when the test was stolen the professor had to make a new set of questions,0
7855,7856,Synset('last_word.n.02'),12,my doctor has the last word on the medicines I take,Synset('authority.n.07'),11,this book is the final authority on the life of Milton,0
7856,7857,Synset('shade.n.02'),7,after several trials he mixed the shade of pink that she wanted,Synset('richness.n.06'),8,the fire-light gave a richness of coloring to that side of the room,1
7857,7858,Synset('wellbeing.n.01'),9,the town was finally on the upbeat after our recent troubles,Synset('health.n.01'),10,physicians should be held responsible for the health of their patients,1
7858,7859,Synset('incidental_expense.n.01'),8,he requested reimbursement of $7 for incidental expenses,Synset('expense.n.03'),7,he kept a careful record of his expenses at the meeting,0
7859,7860,Synset('note.n.04'),7,there was a note of uncertainty in his voice,Synset('tone.n.01'),6,he began in a conversational tone,0
7860,7861,Synset('off-day.n.01'),8,I guess this is one of my off-days,Synset('day.n.02'),7,it should arrive any day now,0
7861,7862,Synset('hint.n.01'),7,not a breath of scandal ever touched her,Synset('suggestion.n.02'),6,it was a suggestion we couldn't refuse,0
7862,7863,Synset('car.n.04'),10,the car was on the top floor,Synset('room.n.01'),8,the rooms were very small but they had a nice view,0
7863,7864,Synset('indigence.n.01'),8,their indigence appalled him,Synset('beggary.n.02'),9,they were reduced to mendicancy,1
7864,7865,Synset('hearing.n.05'),9,the investigative committee will hold hearings in Chicago,Synset('session.n.01'),8,it was the opening session of the legislature,0
7865,7866,Synset('dysphemism.n.01'),7,his favorite dysphemism was to ask for axle grease when he wanted butter,Synset('bus.n.04'),13,the fenders had fallen off that old bus,1
7866,7867,Synset('bottom.n.02'),6,they started at the bottom of the hill,Synset('foot.n.03'),7,curled up on the foot of the bed,1
7867,7868,Synset('range.n.02'),8,range of motion,Synset('rifle_range.n.01'),9,the target was out of rifle range,1
7868,7869,Synset('concession.n.03'),8,they won all the concessions they asked for,Synset('sop.n.02'),9,the offer was a sop to my feelings,1
7869,7870,Synset('trail.n.01'),7,there as a trail of blood,Synset('slot.n.05'),8,he followed the deer's slot over the soft turf to the edge of the trees,1
7870,7871,Synset('smoke.n.07'),7,he went outside for a smoke,Synset('puffing.n.01'),8,they smoked up the room with their ceaseless puffing,1
7871,7872,Synset('structure.n.02'),6,artists must study the structure of the human body,Synset('computer_architecture.n.02'),7,the architecture of a computer's system software,1
7872,7873,Synset('tier.n.05'),7,tier upon tier of huge casks,Synset('layer.n.01'),6,slices of hard-boiled egg on a bed of spinach,0
7873,7874,Synset('death.n.04'),6,it was the death of all his plans,Synset('end.n.02'),5,the end of the year,0
7874,7875,Synset('ghetto.n.01'),9,the Warsaw ghetto,Synset('quarter.n.02'),8,the Latin Quarter,0
7875,7876,Synset('area.n.02'),7,it was his area of specialization,Synset('territory.n.02'),8,his questions covered a lot of territory,1
7876,7877,Synset('reconnaissance.n.01'),10,an exchange of fire occurred on a reconnaissance mission,Synset('scouting.n.01'),11,scouting in enemy territory is very dangerous,1
7877,7878,Synset('capitulation.n.03'),9,they were protected until the capitulation of the fort,Synset('loss.n.03'),8,everyone expected him to win so his loss was a shock,0
7878,7879,Synset('lack.n.01'),7,there is a serious lack of insight into the problem,Synset('absence.n.01'),8,he was surprised by the absence of any explanation,1
7879,7880,Synset('foreboding.n.01'),9,a steadily escalating sense of foreboding,Synset('apprehension.n.01'),8,the student looked around the examination room with apprehension,0
7880,7881,Synset('limit.n.01'),7,what he did was beyond the bounds of acceptable behavior,Synset('utmost.n.01'),8,he tried his utmost,1
7881,7882,Synset('juice.n.02'),9,her creative juices were flowing,Synset('energy.n.05'),8,jogging works off my excess energy,0
7882,7883,Synset('muscle.n.04'),8,the senators used their muscle to get the party leader to resign,Synset('authority.n.01'),7,he has the authority to issue warrants,0
7883,7884,Synset('wish.n.04'),10,it was his last wish,Synset('preference.n.03'),9,"given my druthers, I'd eat cake",0
7884,7885,Synset('sense.n.05'),10,a keen musical sense,Synset('appreciation.n.01'),9,he has a good grasp of accounting practices,0
7885,7886,Synset('time.n.01'),7,this time he succeeded,Synset('case.n.01'),6,it was a case of bad judgment,0
7886,7887,Synset('hot_stuff.n.02'),6,skiing is hot stuff in New Hampshire,Synset('popularity.n.01'),5,his charm soon won him affection and popularity,0
7887,7888,Synset('lap_of_luxury.n.01'),10,he was raised in the lap of luxury,Synset('affluence.n.01'),8,they studied forerunners of richness or poverty,0
7888,7889,Synset('suspicion.n.03'),6,he tried to shield me from suspicion,Synset('cloud.n.05'),7,after that mistake he was under a cloud,1
7889,7890,Synset('stockpiling.n.01'),14,the stockpiling of war materials,Synset('repositing.n.01'),13,they decided to reposition their furniture in a recommended repository in Brooklyn,0
7890,7891,Synset('subject.n.01'),5,he didn't want to discuss that subject,Synset('case.n.08'),8,Perry Mason solved the case of the missing heir,1
7891,7892,Synset('hemoglobin.n.01'),14,fish have simpler hemoglobin than mammals,Synset('oxyhemoglobin.n.01'),15,oxyhemoglobin transports oxygen to the cells of the body,1
7892,7893,Synset('undertaking.n.01'),8,he prepared for great undertakings,Synset('proposition.n.05'),9,securing adequate funding is a time-consuming proposition,1
7893,7894,Synset('assumption.n.02'),9,any society is built upon certain assumptions,Synset('basis.n.02'),10,the whole argument rested on a basis of conjecture,1
7894,7895,Synset('sparkle.n.01'),10,he had a sparkle in his eye,Synset('expression.n.01'),7,a sad expression,0
7895,7896,Synset('song.n.05'),9,he bought it for a song,Synset('bargain.n.02'),8,she got a bargain at the auction,0
7896,7897,Synset('revision.n.01'),10,it would require a drastic revision of his opinion,Synset('transfiguration.n.03'),11,the metamorphosis of the old house into something new and exciting,1
7897,7898,Synset('shiva.n.01'),7,the family is sitting shiva,Synset('week.n.01'),6,it rained for a week,0
7898,7899,Synset('composition.n.09'),7,he envied the composition of their faculty,Synset('paste-up.n.01'),8,they showed him a paste-up of the book jacket,1
7899,7900,Synset('yips.n.01'),10,to avoid the yips he changed his style of putting,Synset('nervousness.n.02'),7,he suffered an attack of nerves,0
7900,7901,Synset('bare_bones.n.01'),7,he told us only the bare bones of the story,Synset('kernel.n.03'),6,the gist of the prosecutor's argument,0
7901,7902,Synset('suggestion.n.02'),6,it was a suggestion we couldn't refuse,Synset('overture.n.03'),7,she rejected his advances,1
7902,7903,Synset('setting.n.01'),8,the perfect setting for a ghost story,Synset('scenario.n.02'),9,the scenario is France during the Reign of Terror,1
7903,7904,Synset('starter.n.07'),7,to make sourdough you need a starter,Synset('culture.n.04'),6,the culture of cells in a Petri dish,0
7904,7905,Synset('suggestion.n.01'),7,the picnic was her suggestion,Synset('inkling.n.01'),8,he had no inkling what was about to happen,1
7905,7906,Synset('sketch.n.01'),9,he made several studies before starting to paint,Synset('design.n.06'),10,the design of a building,1
7906,7907,Synset('wilderness.n.03'),7,it was a wilderness preserved for the hawks and mountaineers,Synset('barren.n.01'),8,the barrens of central Africa,1
7907,7908,Synset('great.n.01'),9,he is one of the greats of American music,Synset('achiever.n.01'),8,his son would never be the achiever that his father was,0
7908,7909,Synset('shower.n.06'),8,her friends organized a baby shower for her when she was expecting,Synset('party.n.02'),7,she joined the party after dinner,0
7909,7910,Synset('weakness.n.03'),5,his weakness increased as he became older,Synset('smallness.n.03'),6,the smallness of her voice,1
7910,7911,Synset('fragment.n.03'),8,fragments of a play,Synset('snatch.n.01'),9,overheard snatches of their conversation,1
7911,7912,Synset('range.n.06'),6,he answered a range of questions,Synset('assortment.n.01'),5,a great assortment of cars was on display,0
7912,7913,Synset('behalf.n.02'),8,in your behalf,Synset('sake.n.01'),7,for your sake,0
7913,7914,Synset('contradiction.n.02'),7,the statement `he is brave and he is not brave' is a contradiction,Synset('paradox.n.01'),8,`I always lie' is a paradox because if it is true it must be false,1
7914,7915,Synset('filing.n.01'),6,he filed a complaint,Synset('submission.n.01'),5,several of his submissions were rejected by publishers,0
7915,7916,Synset('positive_identification.n.01'),7,a system for positive identification can prevent the use of a single identity by several people,Synset('key.n.12'),8,a safe-deposit box usually requires two keys to open it,1
7916,7917,Synset('breed.n.02'),11,Google represents a new breed of entrepreneurs,Synset('type.n.01'),10,what type of sculpture do you prefer?,0
7917,7918,Synset('operation.n.01'),6,that rule is no longer in operation,Synset('action.n.02'),5,his sphere of activity,0
7918,7919,Synset('real_world.n.01'),8,a good consultant must have a lot of experience in the real world,Synset('world.n.03'),7,his world was shattered,0
7919,7920,Synset('world_series.n.01'),8,we watched the World Series on TV,Synset('series.n.04'),7,the visiting team swept the series,0
7920,7921,Synset('inherence.n.01'),7,the inherence of polysemy in human language,Synset('presence.n.01'),6,he tested for the presence of radon,0
7921,7922,Synset('matter.n.04'),8,is anything the matter?,Synset('difficulty.n.02'),6,serious difficulties were encountered in obtaining a pure reagent,0
7922,7923,Synset('application.n.03'),10,the doctor prescribed a topical application of iodine,Synset('painting.n.03'),11,you can finish the job of painting faster with a roller than with a brush,1
7923,7924,Synset('skin.n.04'),7,he tried to save his skin,Synset('animation.n.01'),6,while there's life there's hope,0
7924,7925,Synset('wilderness.n.01'),8,he led the Democratic party back from the wilderness,Synset('disfavor.n.01'),7,he is in disfavor with the king,0
7925,7926,Synset('sleep.n.03'),6,he felt better after a little sleep,Synset('kip.n.01'),7,roused him from his kip,1
7926,7927,Synset('awareness.n.01'),8,he had no awareness of his mistakes,Synset('feel.n.01'),9,he has a feel for animals,1
7927,7928,Synset('preference.n.03'),9,"given my druthers, I'd eat cake",Synset('wish.n.04'),10,it was his last wish,1
7928,7929,Synset('headquarters.n.01'),10,many companies have their headquarters in New York,Synset('mukataa.n.01'),11,Arafat was holed up in the mukataa of his West Bank compound,1
7929,7930,Synset('channel.n.05'),7,it must go through official channels,Synset('liaison.n.02'),8,he provided a liaison with the guerrillas,1
7930,7931,Synset('moralization.n.02'),11,for years she worked toward the moralization of English literature,Synset('reform.n.01'),10,justice was for sale before the reform of the law courts,0
7931,7932,Synset('pianism.n.01'),8,a program of pianism,Synset('performance.n.01'),7,they listened to ten different performances,0
7932,7933,Synset('harvest.n.02'),6,they gathered a harvest of examples,Synset('consequence.n.01'),5,the magnetic effect was greater when the rod was lengthwise,0
7933,7934,Synset('judgment.n.01'),8,he was reluctant to make his judgment known,Synset('decision.n.02'),9,a decision unfavorable to the opposition,1
7934,7935,Synset('squeamishness.n.02'),7,the program was withdrawn because of the squeamishness of some viewers,Synset('fastidiousness.n.01'),6,neatness and fastidiousness of dress,0
7935,7936,Synset('taste.n.05'),6,take a taste--you'll like it,Synset('morsel.n.02'),7,all they had left was a bit of bread,1
7936,7937,Synset('price.n.03'),7,the cost in human life was enormous,Synset('value.n.02'),6,the Shakespearean Shylock is of dubious value in the modern world,0
7937,7938,Synset('puffing.n.01'),8,they smoked up the room with their ceaseless puffing,Synset('smoke.n.07'),7,he went outside for a smoke,0
7938,7939,Synset('blood_pressure.n.01'),9,adult blood pressure is considered normal at 120/80 where the first number is the systolic pressure and the second is the diastolic pressure,Synset('arterial_pressure.n.01'),10,arterial pressure is the product of cardiac output and vascular resistance,1
7939,7940,Synset('multiple.n.01'),10,36 is a multiple of 9,Synset('lowest_common_multiple.n.01'),11,the least common multiple of 12 and 18 is 36,1
7940,7941,Synset('estimate.n.05'),7,they had a high estimation of his ability,Synset('reputation.n.03'),8,he acquired a reputation as an actor before he started writing,1
7941,7942,Synset('containment.n.03'),9,the containment of the AIDS epidemic,Synset('ring_containment.n.01'),10,ring containment is a proven method of halting a smallpox epidemic,1
7942,7943,Synset('achiever.n.01'),8,his son would never be the achiever that his father was,Synset('natural.n.01'),9,he's a natural for the job,1
7943,7944,Synset('view.n.02'),9,the most desirable feature of the park are the beautiful views,Synset('glimpse.n.02'),10,from the window he could catch a glimpse of the lake,1
7944,7945,Synset('dog.n.03'),10,you lucky dog,Synset('chap.n.01'),9,that chap is your host,0
7945,7946,Synset('check.n.06'),11,they made a check of their equipment,Synset('inspection.n.01'),10,the platoon stood ready for review,0
7946,7947,Synset('roundness.n.01'),7,there is a musky roundness to his wordiness,Synset('tone.n.01'),6,he began in a conversational tone,0
7947,7948,Synset('oxyhemoglobin.n.01'),15,oxyhemoglobin transports oxygen to the cells of the body,Synset('hemoglobin.n.01'),14,fish have simpler hemoglobin than mammals,0
7948,7949,Synset('sharpness.n.04'),6,the sharpness of her loss,Synset('painfulness.n.02'),5,she feared the painfulness of childbirth,0
7949,7950,Synset('had_crime.n.01'),10,Had crimes include apostasy from Islam and murder and theft and adultery,Synset('transgression.n.01'),8,the boy was punished for the transgressions of his father,0
7950,7951,Synset('certainty.n.01'),8,his certainty reassured the others,Synset('assurance.n.01'),9,his assurance in his superiority did not make him popular,1
7951,7952,Synset('emotional_state.n.01'),7,his emotional state depended on her opinion,Synset('embitterment.n.01'),9,the embitterment that resulted from the loss of his job never left him,1
7952,7953,Synset('energy.n.05'),8,jogging works off my excess energy,Synset('juice.n.02'),9,her creative juices were flowing,1
7953,7954,Synset('now.n.01'),6,Now is a good time to do it,Synset('present.n.01'),5,that is enough for the present,0
7954,7955,Synset('merchandise.n.01'),7,good business depends on having good merchandise,Synset('line.n.22'),8,a nice line of shoes,1
7955,7956,Synset('playback.n.01'),12,he was allowed to hear the playback of his testimony,Synset('reproduction.n.04'),10,Gutenberg's reproduction of holy texts was far more efficient,0
7956,7957,Synset('match.n.01'),9,he always carries matches to light his pipe,Synset('lighter.n.02'),8,do you have a light?,0
7957,7958,Synset('opinion.n.02'),5,his opinions appeared frequently on the editorial page,Synset('side.n.10'),6,there are two sides to every question,1
7958,7959,Synset('filing.n.01'),6,he filed a complaint,Synset('submission.n.01'),5,several of his submissions were rejected by publishers,0
7959,7960,Synset('class.n.01'),5,there are two classes of detergents,Synset('number.n.10'),7,in English the subject and the verb must agree in number,1
7960,7961,Synset('embrace.n.03'),11,his willing embrace of new ideas,Synset('blessing.n.01'),9,he gave the project his blessing,0
7961,7962,Synset('nest.n.04'),8,a nest of thieves,Synset('sleeper_nest.n.01'),9,sleeper nests of Islamic terrorists were capable of launching major attacks in Europe,1
7962,7963,Synset('hope.n.04'),8,he was their best hope for a victory,Synset('white_hope.n.01'),9,this company is the great white hope of the nuclear industry's waste management policy,1
7963,7964,Synset('apparition.n.03'),9,a ghostly apparition at midnight,Synset('appearance.n.04'),7,I tried to describe his appearance to the police,0
7964,7965,Synset('block_grant.n.01'),9,block grants reduce federal responsibility for social welfare,Synset('allotment.n.02'),7,the apportionment of seats in the House of Representatives is based on the relative population of each state,0
7965,7966,Synset('province.n.02'),8,it was his province to take care of himself,Synset('ecclesiastical_province.n.01'),9,the general of the Jesuits has several provinces under him,1
7966,7967,Synset('ease.n.01'),5,he rose through the ranks with apparent ease,Synset('effortlessness.n.01'),6,such effortlessness is achieved only after hours of practice,1
7967,7968,Synset('blessing.n.01'),9,he gave the project his blessing,Synset('idealization.n.01'),11,the idealization of rural life was very misleading,1
7968,7969,Synset('move.n.02'),8,they say that three moves equal one fire,Synset('flit.n.02'),9,they did a moonlight flit,1
7969,7970,Synset('orderer.n.02'),11,Aristotle was a great orderer of ideas,Synset('organizer.n.01'),10,she was the organizer of the meeting,0
